car_ID,symboling,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,CarCompany
103,0,0,0,1,3,1,0,100.4,184.6,66.5,56.1,3296,1,1,181,0,3.43,3.27,9.0,152,5200,17,22,14399.0,14
104,0,0,0,1,2,1,0,100.4,184.6,66.5,55.1,3060,1,1,181,0,3.43,3.27,9.0,152,5200,19,25,13499.0,14
105,3,0,0,0,1,0,0,91.3,170.7,67.9,49.7,3071,1,1,181,0,3.43,3.27,9.0,160,5200,19,25,17199.0,14
106,3,0,1,0,1,0,0,91.3,170.7,67.9,49.7,3139,1,1,181,0,3.43,3.27,7.8,200,5200,17,23,19699.0,14
107,1,0,0,0,1,0,0,99.2,178.5,67.9,49.7,3139,1,1,181,0,3.43,3.27,9.0,160,5200,19,25,18399.0,14
108,0,0,0,1,2,0,0,107.9,186.7,68.4,56.7,3020,3,0,120,0,3.46,3.19,8.4,97,5000,19,24,11900.0,15
109,0,1,1,1,2,0,0,107.9,186.7,68.4,56.7,3197,3,0,152,6,3.7,3.52,21.0,95,4150,28,33,13200.0,15
110,0,0,0,1,3,0,0,114.2,198.9,68.4,58.7,3230,3,0,120,0,3.46,3.19,8.4,97,5000,19,24,12440.0,15
111,0,1,1,1,3,0,0,114.2,198.9,68.4,58.7,3430,3,0,152,6,3.7,3.52,21.0,95,4150,25,25,13860.0,15
112,0,0,0,1,2,0,0,107.9,186.7,68.4,56.7,3075,3,0,120,0,3.46,2.19,8.4,95,5000,19,24,15580.0,15
113,0,1,1,1,2,0,0,107.9,186.7,68.4,56.7,3252,3,0,152,6,3.7,3.52,21.0,95,4150,28,33,16900.0,15
114,0,0,0,1,3,0,0,114.2,198.9,68.4,56.7,3285,3,0,120,0,3.46,2.19,8.4,95,5000,19,24,16695.0,15
115,0,1,1,1,3,0,0,114.2,198.9,68.4,58.7,3485,3,0,152,6,3.7,3.52,21.0,95,4150,25,25,17075.0,15
116,0,0,0,1,2,0,0,107.9,186.7,68.4,56.7,3075,3,0,120,0,3.46,3.19,8.4,97,5000,19,24,16630.0,15
117,0,1,1,1,2,0,0,107.9,186.7,68.4,56.7,3252,3,0,152,6,3.7,3.52,21.0,95,4150,28,33,17950.0,15
118,0,0,1,1,2,0,0,108.0,186.7,68.3,56.0,3130,3,0,134,0,3.61,3.21,7.0,142,5600,18,24,18150.0,15
119,1,0,0,0,1,1,0,93.7,157.3,63.8,50.8,1918,2,0,90,1,2.97,3.23,9.4,68,5500,37,41,5572.0,16
120,1,0,1,0,1,1,0,93.7,157.3,63.8,50.8,2128,2,0,98,7,3.03,3.39,7.6,102,5500,24,30,7957.0,16
121,1,0,0,1,1,1,0,93.7,157.3,63.8,50.6,1967,2,0,90,1,2.97,3.23,9.4,68,5500,31,38,6229.0,16
122,1,0,0,1,2,1,0,93.7,167.3,63.8,50.8,1989,2,0,90,1,2.97,3.23,9.4,68,5500,31,38,6692.0,16
123,1,0,0,1,2,1,0,93.7,167.3,63.8,50.8,2191,2,0,98,1,2.97,3.23,9.4,68,5500,31,38,7609.0,16
124,-1,0,0,1,3,1,0,103.3,174.6,64.6,59.8,2535,2,0,122,1,3.35,3.46,8.5,88,5000,24,30,8921.0,16
125,3,0,1,0,1,0,0,95.9,173.2,66.3,50.2,2818,2,0,156,7,3.59,3.86,7.0,145,5000,19,24,12764.0,16
126,3,0,0,0,1,0,0,94.5,168.9,68.3,50.2,2778,2,0,151,0,3.94,3.11,9.5,143,5500,19,27,22018.0,17
127,3,0,0,0,4,0,1,89.5,168.9,65.0,51.6,2756,5,1,194,0,3.74,2.9,9.5,207,5900,17,25,32528.0,18
128,3,0,0,0,4,0,1,89.5,168.9,65.0,51.6,2756,5,1,194,0,3.74,2.9,9.5,207,5900,17,25,34028.0,17
129,3,0,0,0,0,0,1,89.5,168.9,65.0,51.6,2800,5,1,194,0,3.74,2.9,9.5,207,5900,17,25,37028.0,17
130,1,0,0,0,1,0,0,98.4,175.7,72.3,50.5,3366,6,6,203,0,3.94,3.11,10.0,288,5750,17,28,31400.5,17
131,0,0,0,1,3,1,0,96.1,181.5,66.5,55.2,2579,2,0,132,0,3.46,3.9,8.7,90,5100,23,31,9295.0,19
132,2,0,0,0,1,1,0,96.1,176.8,66.6,50.5,2460,2,0,132,0,3.46,3.9,8.7,90,5100,23,31,9895.0,19
133,3,0,0,0,1,1,0,99.1,186.6,66.5,56.1,2658,2,0,121,0,3.54,3.07,9.31,110,5250,21,28,11850.0,20
134,2,0,0,1,2,1,0,99.1,186.6,66.5,56.1,2695,2,0,121,0,3.54,3.07,9.3,110,5250,21,28,12170.0,20
135,3,0,0,0,1,1,0,99.1,186.6,66.5,56.1,2707,2,0,121,0,2.54,2.07,9.3,110,5250,21,28,15040.0,20
136,2,0,0,1,2,1,0,99.1,186.6,66.5,56.1,2758,2,0,121,0,3.54,3.07,9.3,110,5250,21,28,15510.0,20
137,3,0,1,0,1,1,0,99.1,186.6,66.5,56.1,2808,0,0,121,0,3.54,3.07,9.0,160,5500,19,26,18150.0,20
138,2,0,1,1,2,1,0,99.1,186.6,66.5,56.1,2847,0,0,121,0,3.54,3.07,9.0,160,5500,19,26,18620.0,20
139,2,0,0,0,1,1,0,93.7,156.9,63.4,53.7,2050,5,0,97,1,3.62,2.36,9.0,69,4900,31,36,5118.0,21
140,2,0,0,0,1,1,0,93.7,157.9,63.6,53.7,2120,5,0,108,1,3.62,2.64,8.7,73,4400,26,31,7053.0,21
141,2,0,0,0,1,2,0,93.3,157.3,63.8,55.7,2240,5,0,108,1,3.62,2.64,8.7,73,4400,26,31,7603.0,21
142,0,0,0,1,2,1,0,97.2,172.0,65.4,52.5,2145,5,0,108,1,3.62,2.64,9.5,82,4800,32,37,7126.0,21
143,0,0,0,1,2,1,0,97.2,172.0,65.4,52.5,2190,5,0,108,1,3.62,2.64,9.5,82,4400,28,33,7775.0,21
144,0,0,0,1,2,1,0,97.2,172.0,65.4,52.5,2340,5,0,108,0,3.62,2.64,9.0,94,5200,26,32,9960.0,21
145,0,0,0,1,2,2,0,97.0,172.0,65.4,54.3,2385,5,0,108,1,3.62,2.64,9.0,82,4800,24,25,9233.0,21
146,0,0,1,1,2,2,0,97.0,172.0,65.4,54.3,2510,5,0,108,0,3.62,2.64,7.7,111,4800,24,29,11259.0,21
147,0,0,0,1,3,1,0,97.0,173.5,65.4,53.0,2290,5,0,108,1,3.62,2.64,9.0,82,4800,28,32,7463.0,21
148,0,0,0,1,3,1,0,97.0,173.5,65.4,53.0,2455,5,0,108,0,3.62,2.64,9.0,94,5200,25,31,10198.0,21
149,0,0,0,1,3,2,0,96.9,173.6,65.4,54.9,2420,5,0,108,1,3.62,2.64,9.0,82,4800,23,29,8013.0,21
150,0,0,1,1,3,2,0,96.9,173.6,65.4,54.9,2650,5,0,108,0,3.62,2.64,7.7,111,4800,23,23,11694.0,21
151,1,0,0,0,1,1,0,95.7,158.7,63.6,54.5,1985,2,0,92,1,3.05,3.03,9.0,62,4800,35,39,5348.0,22
152,1,0,0,0,1,1,0,95.7,158.7,63.6,54.5,2040,2,0,92,1,3.05,3.03,9.0,62,4800,31,38,6338.0,22
153,1,0,0,1,1,1,0,95.7,158.7,63.6,54.5,2015,2,0,92,1,3.05,3.03,9.0,62,4800,31,38,6488.0,22
154,0,0,0,1,3,1,0,95.7,169.7,63.6,59.1,2280,2,0,92,1,3.05,3.03,9.0,62,4800,31,37,6918.0,22
155,0,0,0,1,3,2,0,95.7,169.7,63.6,59.1,2290,2,0,92,1,3.05,3.03,9.0,62,4800,27,32,7898.0,22
156,0,0,0,1,3,2,0,95.7,169.7,63.6,59.1,3110,2,0,92,1,3.05,3.03,9.0,62,4800,27,32,8778.0,22
157,0,0,0,1,2,1,0,95.7,166.3,64.4,53.0,2081,2,0,98,1,3.19,3.03,9.0,70,4800,30,37,6938.0,22
158,0,0,0,1,1,1,0,95.7,166.3,64.4,52.8,2109,2,0,98,1,3.19,3.03,9.0,70,4800,30,37,7198.0,22
159,0,1,0,1,2,1,0,95.7,166.3,64.4,53.0,2275,2,0,110,6,3.27,3.35,22.5,56,4500,34,36,7898.0,22
160,0,1,0,1,1,1,0,95.7,166.3,64.4,52.8,2275,2,0,110,6,3.27,3.35,22.5,56,4500,38,47,7788.0,22
161,0,0,0,1,2,1,0,95.7,166.3,64.4,53.0,2094,2,0,98,1,3.19,3.03,9.0,70,4800,38,47,7738.0,22
162,0,0,0,1,1,1,0,95.7,166.3,64.4,52.8,2122,2,0,98,1,3.19,3.03,9.0,70,4800,28,34,8358.0,22
163,0,0,0,1,2,1,0,95.7,166.3,64.4,52.8,2140,2,0,98,1,3.19,3.03,9.0,70,4800,28,34,9258.0,22
164,1,0,0,0,2,0,0,94.5,168.7,64.0,52.6,2169,2,0,98,1,3.19,3.03,9.0,70,4800,29,34,8058.0,22
165,1,0,0,0,1,0,0,94.5,168.7,64.0,52.6,2204,2,0,98,1,3.19,3.03,9.0,70,4800,29,34,8238.0,22
166,1,0,0,0,2,0,0,94.5,168.7,64.0,52.6,2265,0,0,98,0,3.24,3.08,9.4,112,6600,26,29,9298.0,22
167,1,0,0,0,1,0,0,94.5,168.7,64.0,52.6,2300,0,0,98,0,3.24,3.08,9.4,112,6600,26,29,9538.0,22
168,2,0,0,0,4,0,0,98.4,176.2,65.6,52.0,2540,2,0,146,0,3.62,3.5,9.3,116,4800,24,30,8449.0,22
169,2,0,0,0,4,0,0,98.4,176.2,65.6,52.0,2536,2,0,146,0,3.62,3.5,9.3,116,4800,24,30,9639.0,22
170,2,0,0,0,1,0,0,98.4,176.2,65.6,52.0,2551,2,0,146,0,3.62,3.5,9.3,116,4800,24,30,9989.0,22
171,2,0,0,0,4,0,0,98.4,176.2,65.6,52.0,2679,2,0,146,0,3.62,3.5,9.3,116,4800,24,30,11199.0,22
172,2,0,0,0,1,0,0,98.4,176.2,65.6,52.0,2714,2,0,146,0,3.62,3.5,9.3,116,4800,24,30,11549.0,22
173,2,0,0,0,0,0,0,98.4,176.2,65.6,53.0,2975,2,0,146,0,3.62,3.5,9.3,116,4800,24,30,17669.0,22
174,-1,0,0,1,2,1,0,102.4,175.6,66.5,54.9,2326,2,0,122,0,3.31,3.54,8.7,92,4200,29,34,8948.0,22
175,-1,1,1,1,2,1,0,102.4,175.6,66.5,54.9,2480,2,0,110,6,3.27,3.35,22.5,73,4500,30,33,10698.0,22
176,-1,0,0,1,1,1,0,102.4,175.6,66.5,53.9,2414,2,0,122,0,3.31,3.54,8.7,92,4200,27,32,9988.0,22
177,-1,0,0,1,2,1,0,102.4,175.6,66.5,54.9,2414,2,0,122,0,3.31,3.54,8.7,92,4200,27,32,10898.0,22
178,-1,0,0,1,1,1,0,102.4,175.6,66.5,53.9,2458,2,0,122,0,3.31,3.54,8.7,92,4200,27,32,11248.0,22
179,3,0,0,0,1,0,0,102.9,183.5,67.7,52.0,2976,0,1,171,0,3.27,3.35,9.3,161,5200,20,24,16558.0,22
180,3,0,0,0,1,0,0,102.9,183.5,67.7,52.0,3016,0,1,171,0,3.27,3.35,9.3,161,5200,19,24,15998.0,22
181,-1,0,0,1,2,0,0,104.5,187.8,66.5,54.1,3131,0,1,171,0,3.27,3.35,9.2,156,5200,20,24,15690.0,22
182,-1,0,0,1,3,0,0,104.5,187.8,66.5,54.1,3151,0,1,161,0,3.27,3.35,9.2,156,5200,19,24,15750.0,23
183,2,1,0,0,2,1,0,97.3,171.7,65.5,55.7,2261,2,0,97,6,3.01,3.4,23.0,52,4800,37,46,7775.0,24
184,2,0,0,0,2,1,0,97.3,171.7,65.5,55.7,2209,2,0,109,0,3.19,3.4,9.0,85,5250,27,34,7975.0,25
185,2,1,0,1,2,1,0,97.3,171.7,65.5,55.7,2264,2,0,97,6,3.01,3.4,23.0,52,4800,37,46,7995.0,25
186,2,0,0,1,2,1,0,97.3,171.7,65.5,55.7,2212,2,0,109,0,3.19,3.4,9.0,85,5250,27,34,8195.0,25
187,2,0,0,1,2,1,0,97.3,171.7,65.5,55.7,2275,2,0,109,0,3.19,3.4,9.0,85,5250,27,34,8495.0,25
188,2,1,1,1,2,1,0,97.3,171.7,65.5,55.7,2319,2,0,97,6,3.01,3.4,23.0,68,4500,37,42,9495.0,25
189,2,0,0,1,2,1,0,97.3,171.7,65.5,55.7,2300,2,0,109,0,3.19,3.4,10.0,100,5500,26,32,9995.0,25
190,3,0,0,0,0,1,0,94.5,159.3,64.2,55.6,2254,2,0,109,0,3.19,3.4,8.5,90,5500,24,29,11595.0,26
191,3,0,0,0,1,1,0,94.5,165.7,64.0,51.4,2221,2,0,109,0,3.19,3.4,8.5,90,5500,24,29,9980.0,26
192,0,0,0,1,2,1,0,100.4,180.2,66.9,55.1,2661,2,2,136,0,3.19,3.4,8.5,110,5500,19,24,13295.0,25
193,0,1,1,1,2,1,0,100.4,180.2,66.9,55.1,2579,2,0,97,6,3.01,3.4,23.0,68,4500,33,38,13845.0,25
194,0,0,0,1,3,1,0,100.4,183.1,66.9,55.1,2563,2,0,109,0,3.19,3.4,9.0,88,5500,25,31,12290.0,25
195,-2,0,0,1,2,0,0,104.3,188.8,67.2,56.2,2912,2,0,141,0,3.78,3.15,9.5,114,5400,23,28,12940.0,27
196,-1,0,0,1,3,0,0,104.3,188.8,67.2,57.5,3034,2,0,141,0,3.78,3.15,9.5,114,5400,23,28,13415.0,27
197,-2,0,0,1,2,0,0,104.3,188.8,67.2,56.2,2935,2,0,141,0,3.78,3.15,9.5,114,5400,24,28,15985.0,27
198,-1,0,0,1,3,0,0,104.3,188.8,67.2,57.5,3042,2,0,141,0,3.78,3.15,9.5,114,5400,24,28,16515.0,27
199,-2,0,1,1,2,0,0,104.3,188.8,67.2,56.2,3045,2,0,130,0,3.62,3.15,7.5,162,5100,17,22,18420.0,27
200,-1,0,1,1,3,0,0,104.3,188.8,67.2,57.5,3157,2,0,130,0,3.62,3.15,7.5,162,5100,17,22,18950.0,27
201,-1,0,0,1,2,0,0,109.1,188.8,68.9,55.5,2952,2,0,141,0,3.78,3.15,9.5,114,5400,23,28,16845.0,27
202,-1,0,1,1,2,0,0,109.1,188.8,68.8,55.5,3049,2,0,141,0,3.78,3.15,8.7,160,5300,19,25,19045.0,27
203,-1,0,0,1,2,0,0,109.1,188.8,68.9,55.5,3012,1,1,173,0,3.58,2.87,8.8,134,5500,18,23,21485.0,27
204,-1,1,1,1,2,0,0,109.1,188.8,68.9,55.5,3217,2,1,145,6,3.01,3.4,23.0,106,4800,26,27,22470.0,27
205,-1,0,1,1,2,0,0,109.1,188.8,68.9,55.5,3062,2,0,141,0,3.78,3.15,9.5,114,5400,19,25,22625.0,27
